Times,Diff in nanoseconds,In microseconds,In milliseconds,Diff of diff in microseconds,Diff of diff in milliseconds
11134940227100,1012857100,1012857.1,1012.8571,-1431,-1.4313
11135948416800,1008189700,1008189.7,1008.1897,-4667,-4.6674
11136958702000,1010285200,1010285.2,1010.2852,2096,2.0955
11137970889300,1012187300,1012187.3,1012.1873,1902,1.9021
11138984034400,1013145100,1013145.1,1013.1451,958,0.9578
11139993343100,1009308700,1009308.7,1009.3087,-3836,-3.8364
11141008239500,1014896400,1014896.4,1014.8964,5588,5.5877
11142021971400,1013731900,1013731.9,1013.7319,-1165,-1.1645
11143037119600,1015148200,1015148.2,1015.1482,1416,1.4163
11144051411200,1014291600,1014291.6,1014.2916,-857,-0.8566
11145063000400,1011589200,1011589.2,1011.5892,-2702,-2.7024
11146074631300,1011630900,1011630.9,1011.6309,42,0.0417
11147080725300,1006094000,1006094,1006.094,-5537,-5.5369
11148092738400,1012013100,1012013.1,1012.0131,5919,5.9191
11149103577200,1010838800,1010838.8,1010.8388,-1174,-1.1743
11150113592900,1010015700,1010015.7,1010.0157,-823,-0.8231
11151127215100,1013622200,1013622.2,1013.6222,3607,3.6065
